Code,開課單位,Course Offering Department,所屬學院,College
AES,分析與環境科學研究所,Institute of Analytical and Environmental Sciences,原子科學院,College of Nuclear Science
AIIM,AI智慧製造與智慧物聯網產業碩士專班,Industrial Technology Graduate Program of AI Intelligent Manufacturing & Intelligent IoT Production,工學院,College of Engineering
AMEV,電動載具先進智慧製造技術產業碩士專班,Advanced Intelligent Manufacture for Electric Vehicle Master Program,工學院,College of Engineering
ANTH,人類學研究所,Institute of Anthropology,人文社會學院,College of Humanities and Social Sciences
ASTR,天文研究所,Institute of Astronomy,理學院,College of Science
BAI,智慧生醫博士學位學程,Ph.D. Program in Biomedical Artificial Intelligence,教務處,Office of Academic Affairs
BME,生物醫學工程研究所,Institute of Biomedical Engineering,工學院,College of Engineering
BMES,生醫工程與環境科學系,Department of Biomedical Engineering and Environmental Sciences,原子科學院,College of Nuclear Science
CHE,化學工程學系,Department of Chemical Engineering,工學院,College of Engineering
CHEM,化學系,Department of Chemistry,理學院,College of Science
CHSS,人文社會學院,College of Humanities and Social Sciences,人文社會學院,College of Humanities and Social Sciences
CL,中國文學系,Department of Chinese Literature,人文社會學院,College of Humanities and Social Sciences
CLC,華語中心,Chinese Language Center,教務處,Office of Academic Affairs
COM,通訊工程研究所,Institute of Communications Engineering,電機資訊學院,College of Electrical Engineering and Computer Science
CS,資訊工程學系,Department of Computer Science,電機資訊學院,College of Electrical Engineering and Computer Science
CSR,半導體研究學院,College of Semiconductor Research,半導體研究學院,College of Semiconductor Research
CTM,科技管理學院,College of Technology Management,科技管理學院,College of Technology Management
DMS,醫學科學系,Department of Medical Science,生命科學暨醫學院,College of Life Science and Medicine
E,工學院,College of Engineering,工學院,College of Engineering
ECON,經濟學系,Department of Economics,科技管理學院,College of Technology Management
EE,電機工程學系,Department of Electrical Engineering,電機資訊學院,College of Electrical Engineering and Computer Science
EECS,電機資訊學院學士班,Undergraduate Program of Electrical Engineering and Computer Science,電機資訊學院,College of Electrical Engineering and Computer Science
EMBA,高階經營管理碩士在職專班,Executive Master of Business Administration,科技管理學院,College of Technology Management
EMD,高階經營管理雙聯碩士在職專班,NTHU-UTA Dual EMBA Degree Program,科技管理學院,College of Technology Management
EMIM,智慧製造跨院高階主管碩士在職學位學程,Executive Cross-Discipline Master Program for Intelligent Manufacturing,教務處,Office of Academic Affairs
EMM,高階經營管理馬來西亞境外碩士在職專班,Asia-Pacific Executive Master of Business Administration in Malaysia,科技管理學院,College of Technology Management
EMS,高階經營管理深圳境外碩士在職專班,Executive Master of Business Administration in Shenzhen,科技管理學院,College of Technology Management
ENE,電子工程研究所,Institute of Electronic Engineering,電機資訊學院,College of Electrical Engineering and Computer Science
ESS,工程與系統科學系,Department of Engineering and System Science,原子科學院,College of Nuclear Science
EST,環境科技博士學位學程（台灣聯合大學系統）,International Ph.D. Program in Environmental Science and Technology（University System of Taiwan）,原子科學院,College of Nuclear Science
FL,外國語文學系,Department of Foreign Languages and Literature,人文社會學院,College of Humanities and Social Sciences
FMMI,流體機械暨先進材料與智慧檢測產業碩士專班,Industrial Technology Graduate Program of Fluid Machinery and Advanced Materials with Intelligent I,工學院,College of Engineering
GE,通識教育中心,Center for General Education,清華學院,Tsing Hua College
GEC,通識教育中心,General Education Core Courses,清華學院,Tsing Hua College
GLLB,學士後法律學士學位學程,Post Graduate Bachelor of Laws,科技管理學院,College of Technology Management
GOM,全球營運管理碩士雙聯學位學程,Dual Master Program for Global Operation Management,工學院,College of Engineering
GPTS,台灣研究教師在職進修碩士學位班,Graduate Program of Taiwan Studies for In-service,人文社會學院,College of Humanities and Social Sciences
HBA,科技管理學院健康政策與經營管理碩士在職專班,Master Program of Health Policy and Business Administration,科技管理學院,College of Technology Management
HIS,歷史研究所,Institute of History,人文社會學院,College of Humanities and Social Sciences
HSS,人文社會學院學士班,Interdisciplinary Program of Humanities and Social Sciences,人文社會學院,College of Humanities and Social Sciences
IACS,亞際文化研究國際碩士學位學程(台灣聯合大學系統),International Master's Program in Inter-Asia Cultural Studies( University System of Taiwan),人文社會學院,College of Humanities and Social Sciences
IBP,清華學院國際學士班,Tsing Hua College International Bachelor Degree Program,清華學院,Tsing Hua College
ICMS,計算與建模科學研究所,Department of Institute of Computational and Modeling Science,理學院,College of Science
IEEM,工業工程與工程管理學系,Department of Industrial Engineering & Engineering Management,工學院,College of Engineering
IEM,工業工程與工程管理學系碩士在職專班,Department of Industrial Engineering and Engineering Management,工學院,College of Engineering
IIS,資訊安全研究所,Institute of Information Security,電機資訊學院,College of Electrical Engineering and Computer Science
IMBA,國際專業管理碩士班,International Master of Business Administration,科技管理學院,College of Technology Management
IMCT,資通訊科技產品智慧設計控制與熱流產業碩士專班,"Department of Industry-Oriented Master Degree Program on Intelligent Design, Control and Thermal fluid for ICT Products",工學院,College of Engineering
IMIC,動力機械工程學系資通訊科技產品智慧設計與控制產業碩士專班,Industry-Oriented Master Degree Program on Intelligent Design and Control for ICT Products,工學院,College of Engineering
IMIE,智慧生產與智能馬達電控產業碩士專班,Intelligent Manufacturing & Intelligent Motor Electronic Control Master Program of Industry,工學院,College of Engineering
IMII,AI智慧製造與工業物聯網產業碩士專班,AI Intelligent Manufacturing and Industrial IOT Master Program of Industry,工學院,College of Engineering
IMS,跨院國際碩士學位學程,International Intercollegiate Master Program,教務處,Office of Academic Affairs
IPE,工學院學士班,Interdisciplinary Program of Engineering,工學院,College of Engineering
IPHD,跨院國際博士班學位學程,International Intercollegiate Ph.D. Program,教務處,Office of Academic Affairs
IPIM,智慧生產與製造產業碩士專班,Intelligent Production and Intelligent Manufacturing Master Program of Industry,工學院,College of Engineering
IPMT,科技管理學院學士班,Interdisciplinary Program of Management and Technology,科技管理學院,College of Technology Management
